id,year,day,month,location,comments,date,OSGridRef,latitude,longitude,Nation
196,1119,,July,Pont-Saint-Pierre,,7-1119,,49.3361,1.2758,France
197,1119,,July,�vreux,,7-1119,,49.02,1.15,France
198,1119,20,Aug,Noyon,(battle of La-Br�mule),20-8-1119,,49.5817,2.9997,France
199,1119,17,Sept,Br�teuil,,17-9-1119,,48.8369,0.9147,France
200,1119,18,Sept,Br�teuil,,18-9-1119,,48.8369,0.9147,France
201,1119,19,Sept,Br�teuil,,19-9-1119,,48.8369,0.9147,France
202,1119,20,Sept,Br�teuil,,20-9-1119,,48.8369,0.9147,France
203,1119,21,Sept,Br�teuil,,21-9-1119,,48.8369,0.9147,France
204,1119,22,Sept,Br�teuil,,22-9-1119,,48.8369,0.9147,France
205,1119,23,Sept,Br�teuil,,23-9-1119,,48.8369,0.9147,France
206,1119,24,Sept,Br�teuil,,24-9-1119,,48.8369,0.9147,France
207,1119,,,Glos-la-Ferri�re,,1119,,48.8578,0.6019,France
208,1119,,,Lyre,,1119,,48.9186,0.7508,England
209,1119,,,Rouen,,1119,,49.442778,1.088611,France
210,1119,,Oct,�vreux,,10-1119,,49.02,1.15,France
211,1119,,Oct,Vieux-Rouen,,10-1119,,49.8347,1.7211,France
212,1119,20,Nov,Gisors,,20-11-1119,,49.2811,1.7772,France
213,1119,21,Nov,Gisors,,21-11-1119,,49.2811,1.7772,France
214,1119,22,Nov,Gisors,,22-11-1119,,49.2811,1.7772,France
215,1119,23,Nov,Gisors,,23-11-1119,,49.2811,1.7772,France
216,1119,24,Nov,Gisors,,24-11-1119,,49.2811,1.7772,France
217,1119,25,Nov,Gisors,,25-11-1119,,49.2811,1.7772,France
218,1119,26,Nov,Gisors,,26-11-1119,,49.2811,1.7772,France
219,1119,27,Nov,Gisors,,27-11-1119,,49.2811,1.7772,France
220,1119,25,Dec,Bayeux,,25-12-1119,,49.2794,-0.7028,France
221,1120,3,Mar,Arganchy,,3-3-1120,,49.2367,-0.7406,France
222,1120,4,Mar,Arganchy,,4-3-1120,,49.2367,-0.7406,France
223,1120,5,Mar,Arganchy,,5-3-1120,,49.2367,-0.7406,France
224,1120,6,Mar,Arganchy,,6-3-1120,,49.2367,-0.7406,France
225,1120,7,Mar,Arganchy,,7-3-1120,,49.2367,-0.7406,France
226,1120,8,Mar,Arganchy,,8-3-1120,,49.2367,-0.7406,France
227,1120,9,Mar,Arganchy,,9-3-1120,,49.2367,-0.7406,France
228,1120,10,Mar,Arganchy,,10-3-1120,,49.2367,-0.7406,France
229,1120,11,Mar,Arganchy,,11-3-1120,,49.2367,-0.7406,France
230,1120,12,Mar,Arganchy,,12-3-1120,,49.2367,-0.7406,France
231,1120,13,Mar,Arganchy,,13-3-1120,,49.2367,-0.7406,France
232,1120,14,Mar,Arganchy,,14-3-1120,,49.2367,-0.7406,France
233,1120,15,Mar,Arganchy,,15-3-1120,,49.2367,-0.7406,France
234,1120,16,Mar,Arganchy,,16-3-1120,,49.2367,-0.7406,France
235,1120,17,Mar,Arganchy,,17-3-1120,,49.2367,-0.7406,France
236,1120,18,Mar,Arganchy,,18-3-1120,,49.2367,-0.7406,France
237,1120,19,Mar,Arganchy,,19-3-1120,,49.2367,-0.7406,France
238,1120,20,Mar,Arganchy,,20-3-1120,,49.2367,-0.7406,France
239,1120,21,Mar,Arganchy,,21-3-1120,,49.2367,-0.7406,France
240,1120,22,Mar,Arganchy,,22-3-1120,,49.2367,-0.7406,France
241,1120,23,Mar,Arganchy,,23-3-1120,,49.2367,-0.7406,France
242,1120,24,Mar,Arganchy,,24-3-1120,,49.2367,-0.7406,France
243,1120,25,Mar,Arganchy,,25-3-1120,,49.2367,-0.7406,France
244,1120,26,Mar,Arganchy,,26-3-1120,,49.2367,-0.7406,France
245,1120,27,Mar,Arganchy,,27-3-1120,,49.2367,-0.7406,France
246,1120,28,Mar,Arganchy,,28-3-1120,,49.2367,-0.7406,France
247,1120,29,Mar,Arganchy,,29-3-1120,,49.2367,-0.7406,France
248,1120,30,Mar,Arganchy,,30-3-1120,,49.2367,-0.7406,France
249,1120,31,Mar,Arganchy,,31-3-1120,,49.2367,-0.7406,France
250,1120,1,Apr,Arganchy,,1-4-1120,,49.2367,-0.7406,France
251,1120,2,Apr,Arganchy,,2-4-1120,,49.2367,-0.7406,France
252,1120,3,Apr,Arganchy,,3-4-1120,,49.2367,-0.7406,France
253,1120,4,Apr,Arganchy,,4-4-1120,,49.2367,-0.7406,France
254,1120,5,Apr,Arganchy,,5-4-1120,,49.2367,-0.7406,France
255,1120,6,Apr,Arganchy,,6-4-1120,,49.2367,-0.7406,France
256,1120,7,Apr,Arganchy,,7-4-1120,,49.2367,-0.7406,France
257,1120,8,Apr,Arganchy,,8-4-1120,,49.2367,-0.7406,France
258,1120,9,Apr,Arganchy,,9-4-1120,,49.2367,-0.7406,France
259,1120,10,Apr,Arganchy,,10-4-1120,,49.2367,-0.7406,France
260,1120,11,Apr,Arganchy,,11-4-1120,,49.2367,-0.7406,France
261,1120,12,Apr,Arganchy,,12-4-1120,,49.2367,-0.7406,France
262,1120,13,Apr,Arganchy,,13-4-1120,,49.2367,-0.7406,France
263,1120,14,Apr,Arganchy,,14-4-1120,,49.2367,-0.7406,France
264,1120,15,Apr,Arganchy,,15-4-1120,,49.2367,-0.7406,France
265,1120,16,Apr,Arganchy,,16-4-1120,,49.2367,-0.7406,France
266,1120,17,Apr,Arganchy,,17-4-1120,,49.2367,-0.7406,France
267,1120,30,May,Vernon,"Appears as ""Vernon (?)""",30-5-1120,,49.09,1.49,France
268,1120,,Oct,Gisors,,10-1120,,49.2811,1.7772,France
269,1120,21,Nov,Barfleur,,21-11-1120,,49.6711,-1.2633,France
270,1120,25,Nov,Barfleur,(crossing to England The White Ship),25-11-1120,,49.6711,-1.2633,France
271,1120,25,Dec,Brampton,,25-12-1120,TL2134570670,52.32073,-0.22107536,England
272,1121,6,Jan,London,,6-1-1121,TQ3248081340,51.515457,-0.092140265,England
273,1121,7,Jan,Westminster,,7-1-1121,TQ3016079670,51.500988,-0.12617168,England
274,1121,29,Jan,Windsor,,29-1-1121,SU9683776912,51.482886,-0.60683638,England
275,1121,30,Jan,Windsor,,30-1-1121,SU9683776912,51.482886,-0.60683638,England
276,1121,,Feb,Winchester,,2-1121,SU4779329466,51.062549,-1.3193687,England
277,1121,13,Mar,Abingdon,,13-3-1121,SU4968596712,51.667,-1.283,England
278,1121,10,Apr,Berkeley,,10-4-1121,ST6836999238,51.691,-2.459,England
279,1121,,Apr-May,Winchester,,1121,SU4779329466,51.062549,-1.3193687,England
280,1121,29,May,Westminster,,29-5-1121,TQ3016079670,51.500988,-0.12617168,England
282,1121,25,Dec,Norwich,,25-12-1121,TG2322108686,52.63,1.297,England
283,1122,26,Mar,Northampton,,26-3-1122,SP7549060562,52.238083,-0.89592755,England
284,1122,14,May,Windsor,,14-5-1122,SU9683776912,51.482886,-0.60683638,England
285,1122,15,May,Windsor,,15-5-1122,SU9683776912,51.482886,-0.60683638,England
286,1122,16,May,Westminster,,16-5-1122,TQ3016079670,51.500988,-0.12617168,England
287,1122,17,May,Westminster,,17-5-1122,TQ3016079670,51.500988,-0.12617168,England
288,1122,18,May,Westminster,,18-5-1122,TQ3016079670,51.500988,-0.12617168,England
289,1122,19,May,Westminster,,19-5-1122,TQ3016079670,51.500988,-0.12617168,England
290,1122,20,May,Westminster,,20-5-1122,TQ3016079670,51.500988,-0.12617168,England
291,1122,21,May,Kent,"Appears as ""Into Kent""",21-5-1122,TQ8872947996,51.2,0.7,England
292,1122,,Oct,York,,10-1122,SE6030051700,53.957883,-1.0825156,England
293,1122,,Oct,Durham,,10-1122,NZ2736642283,54.774722,-1.576111,England
294,1122,25,Dec,Dunstable,,25-12-1122,TL0188821864,51.88603,-0.52102,England
295,1123,1,Jan,Berkhamstead,,1-1-1123,SP9937607724,51.759399,-0.56154726,England
296,1123,10,Jan,Woodstock,,10-1-1123,SP4400016000,51.840878,-1.362755,England
297,1123,2,Feb,Gloucester,,2-2-1123,SO8320018600,51.865722,-2.2453868,England
298,1123,3,Feb,Gloucester,,3-2-1123,SO8320018600,51.865722,-2.2453868,England
299,1123,4,Feb,Gloucester,,4-2-1123,SO8320018600,51.865722,-2.2453868,England
300,1123,25,Mar,Woodstock,,25-3-1123,SP4400016000,51.840878,-1.362755,England
301,1123,15,Apr,Winchester,,15-4-1123,SU4779329466,51.062549,-1.3193687,England
302,1123,3,June,Portsmouth,,3-6-1123,SU6441401094,50.805833,-1.087222,England
303,1123,4,June,Portsmouth,,4-6-1123,SU6441401094,50.805833,-1.087222,England
304,1123,5,June,Portsmouth,,5-6-1123,SU6441401094,50.805833,-1.087222,England
305,1123,6,June,Portsmouth,,6-6-1123,SU6441401094,50.805833,-1.087222,England
306,1123,7,June,Portsmouth,,7-6-1123,SU6441401094,50.805833,-1.087222,England
307,1123,8,June,Portsmouth,,8-6-1123,SU6441401094,50.805833,-1.087222,England
308,1123,9,June,Portsmouth,,9-6-1123,SU6441401094,50.805833,-1.087222,England
309,1123,10,June,Portsmouth,,10-6-1123,SU6441401094,50.805833,-1.087222,England
311,1123,,Oct,Rouen,,10-1123,,49.442778,1.088611,France
312,1123,,Oct-Nov,Pont-Audemer,,Oct-Nov-1123,,49.36,0.51,France
313,1124,25,Mar,Caen,,25-3-1124,,49.18,-0.37,France
314,1124,6,Apr,Rouen,"Appears as ""p 6 Apr""",6-4-1124,,49.442778,1.088611,France
315,1124,15,Apr,Bec,,15-4-1124,,49.2288,0.722,France
316,1124,16,Apr,Bec,,16-4-1124,,49.2288,0.722,France
317,1124,,Apr,Brionne,,4-1124,,49.1956,0.7211,France
318,1124,18,May,Rouen,,18-5-1124,,49.442778,1.088611,France
319,1125,,,Normandy,,12-1125,,48.88,0.17,France
320,1126,23,Mar,S�es,,23-3-1126,,48.6053,0.1719,France
321,1126,,Mar,Rouen,,-1129,,49.442778,1.088611,France
322,1126,11,Sept,Dieppe,(return to England),11-9-1126,,49.92,1.08,France
323,1126,25,Dec,Windsor,,25-12-1126,SU9683776912,51.482886,-0.60683638,England
324,1126,30,Dec,London,,30-12-1126,TQ3248081340,51.515457,-0.092140265,England
325,1127,,Jan,Winchester,,1-1127,SU4779329466,51.062549,-1.3193687,England
326,1127,16,Feb,Woodstock,,16-2-1127,SP4400016000,51.840878,-1.362755,England
327,1127,17,Feb,Woodstock,,17-2-1127,SP4400016000,51.840878,-1.362755,England
328,1127,18,Feb,Woodstock,,18-2-1127,SP4400016000,51.840878,-1.362755,England
329,1127,19,Feb,Woodstock,,19-2-1127,SP4400016000,51.840878,-1.362755,England
330,1127,20,Feb,Woodstock,,20-2-1127,SP4400016000,51.840878,-1.362755,England
331,1127,21,Feb,Woodstock,,21-2-1127,SP4400016000,51.840878,-1.362755,England
332,1127,22,Feb,Woodstock,,22-2-1127,SP4400016000,51.840878,-1.362755,England
333,1127,23,Feb,Woodstock,,23-2-1127,SP4400016000,51.840878,-1.362755,England
334,1127,24,Feb,Woodstock,,24-2-1127,SP4400016000,51.840878,-1.362755,England
335,1127,25,Feb,Woodstock,,25-2-1127,SP4400016000,51.840878,-1.362755,England
336,1127,26,Feb,Woodstock,,26-2-1127,SP4400016000,51.840878,-1.362755,England
337,1127,27,Feb,Woodstock,,27-2-1127,SP4400016000,51.840878,-1.362755,England
338,1127,28,Feb,Woodstock,,28-2-1127,SP4400016000,51.840878,-1.362755,England
339,1127,1,Mar,Woodstock,,1-3-1127,SP4400016000,51.840878,-1.362755,England
340,1127,2,Mar,Woodstock,,2-3-1127,SP4400016000,51.840878,-1.362755,England
341,1127,3,Mar,Woodstock,,3-3-1127,SP4400016000,51.840878,-1.362755,England
342,1127,4,Mar,Woodstock,,4-3-1127,SP4400016000,51.840878,-1.362755,England
343,1127,5,Mar,Woodstock,,5-3-1127,SP4400016000,51.840878,-1.362755,England
344,1127,6,Mar,Woodstock,,6-3-1127,SP4400016000,51.840878,-1.362755,England
345,1127,7,Mar,Woodstock,,7-3-1127,SP4400016000,51.840878,-1.362755,England
346,1127,8,Mar,Woodstock,,8-3-1127,SP4400016000,51.840878,-1.362755,England
347,1127,9,Mar,Woodstock,,9-3-1127,SP4400016000,51.840878,-1.362755,England
348,1127,10,Mar,Woodstock,,10-3-1127,SP4400016000,51.840878,-1.362755,England
349,1127,11,Mar,Woodstock,,11-3-1127,SP4400016000,51.840878,-1.362755,England
350,1127,12,Mar,Woodstock,,12-3-1127,SP4400016000,51.840878,-1.362755,England
351,1127,13,Mar,Woodstock,,13-3-1127,SP4400016000,51.840878,-1.362755,England
352,1127,14,Mar,Woodstock,,14-3-1127,SP4400016000,51.840878,-1.362755,England
353,1127,15,Mar,Woodstock,,15-3-1127,SP4400016000,51.840878,-1.362755,England
